"user_id","property_id"
"USR0000002","1000000025"
"USR0000003","1000000020"
"USR0000004","1000000017"
"USR0000005","1000000012"
"USR0000005","1000000005"
"USR0000006","1000000024"
"USR0000007","1000000019"
"USR0000008","1000000028"
"USR0000009","1000000003"
"USR0000010","1000000023"
"USR0000011","1000000002"
"USR0000012","1000000026"
"USR0000017","1000000030"
"USR0000017","1000000001"
"USR0000018","1000000021"
"USR0000019","1000000027"
"USR0000019","1000000018"
"USR0000020","1000000020"
"USR0000021","1000000024"
"USR0000022","1000000023"
"USR0000023","1000000020"
"USR0000025","1000000013"
"USR0000026","1000000011"
"USR0000027","1000000014"
"USR0000029","1000000025"
"USR0000030","1000000008"
"USR0000031","1000000022"
"USR0000031","1000000005"
"USR0000034","1000000003"
"USR0000035","1000000027"
"USR0000035","1000000006"
"USR0000036","1000000002"
"USR0000037","1000000019"
"USR0000038","1000000017"
"USR0000039","1000000012"
"USR0000040","1000000023"
"USR0000041","1000000008"
"USR0000041","1000000013"
"USR0000042","1000000020"
"USR0000043","1000000018"
"USR0000044","1000000025"
"USR0000045","1000000029"
"USR0000047","1000000017"
"USR0000047","1000000002"
"USR0000048","1000000005"
"USR0000049","1000000009"
"USR0000049","1000000026"
"USR0000050","1000000007"
"USR0000050","1000000021"
